Location,Servings
China,40430
Indonesia,13200
Japan,5540
Vietnam,4800
USA,4210
Korea,3650
Philippines,3480
India,3260
Thailand,3070
Brazil,2280
Russia,1840
Nigeria,1540
Malaysia,1360
Nepal,1190
Mexico,830
